shop_name,shop_id,shop_name_pt
"!Якутск Орджоникидзе, 56 фран",0,"! Yakutsk Ordzhonikidze, 56 francos"
"!Якутск ТЦ ""Центральный"" фран",1,"! Yakutsk TC fran ""Central"""
"Адыгея ТЦ ""Мега""",2,"Centro comercial Adygea ""Mega"""
"Балашиха ТРК ""Октябрь-Киномир""",3,"Balashikha TRK ""Outubro-Kinomir"""
"Волжский ТЦ ""Волга Молл""",4,"Centro comercial Volzhsky ""Volga Mall"""
"Вологда ТРЦ ""Мармелад""",5,"Vologda SEC ""Marmelad"""
"Воронеж (Плехановская, 13)",6,"Voronezh (Plekhanovskaya, 13)"
"Воронеж ТРЦ ""Максимир""",7,"Voronezh SEC ""Maksimir"""
"Воронеж ТРЦ Сити-Парк ""Град""",8,"Voronezh SEC City-Park ""Grad"""
Выездная Торговля,9,Comércio externo
Жуковский ул. Чкалова 39м?,10,Zhukovsky st. Chkalov 39m?
Жуковский ул. Чкалова 39м²,11,Zhukovsky st. Chkalov 39m²
Интернет-магазин ЧС,12,Loja online de situações de emergência
"Казань ТЦ ""Бехетле""",13,"Kazan TC ""Bakhetle"""
"Казань ТЦ ""ПаркХаус"" II",14,"Kazan TC ""ParkHouse"" II"
"Калуга ТРЦ ""XXI век""",15,"Kaluga SEC ""século XXI"""
"Коломна ТЦ ""Рио""",16,"Centro comercial Kolomna ""Rio"""
"Красноярск ТЦ ""Взлетка Плаза""",17,"Krasnoyarsk TC ""Vzletka Plaza"""
"Красноярск ТЦ ""Июнь""",18,"Krasnoyarsk TC ""junho"""
"Курск ТЦ ""Пушкинский""",19,"Kursk TC ""Pushkinsky"""
"Москва ""Распродажа""",20,"Moscou ""venda"""
"Москва МТРЦ ""Афи Молл""",21,"Moscou MTRC ""Afi Mall"""
Москва Магазин С21,22,Moscow Shop C21
"Москва ТК ""Буденовский"" (пав.А2)",23,"Moscou TC ""Budenovsky"" (pav. A2)"
"Москва ТК ""Буденовский"" (пав.К7)",24,"Moscow TK ""Budenovskiy"" (pav. K7)"
"Москва ТРК ""Атриум""",25,"Moscou TRK ""Atrium"""
"Москва ТЦ ""Ареал"" (Беляево)",26,"Moscou TC ""Areal"" (Belyaevo)"
"Москва ТЦ ""МЕГА Белая Дача II""",27,"Moscou TC ""MEGA Belaya Dacha II"""
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,"Moscou TC ""MEGA Teply Stan"" II"
"Москва ТЦ ""Новый век"" (Новокосино)",29,"Moscou TC ""Nova Era"" (Novokosino)"
"Москва ТЦ ""Перловский""",30,"Moscou TC ""Perlovsky"""
"Москва ТЦ ""Семеновский""",31,"Moscou TC ""Semenovsky"""
"Москва ТЦ ""Серебряный Дом""",32,"Moscou TC ""Silver House"""
"Мытищи ТРК ""XL-3""",33,"Mytischi TRK ""XL-3"""
"Н.Новгород ТРЦ ""РИО""",34,"N.Novgorod SEC ""RIO"""
"Н.Новгород ТРЦ ""Фантастика""",35,"N.Novgorod SEC ""Fantasia"""
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,"Novosibirsk SEC ""Gallery Novosibirsk"""
"Новосибирск ТЦ ""Мега""",37,"Centro comercial de Novosibirsk ""Mega"""
"Омск ТЦ ""Мега""",38,"Omsk TC ""Mega"""
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,"Rostov em Don TRK ""Megacenter Horizon"""
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,"Rostov em Don TRC ""Megacenter Horizon"" Ostrovnoy"
"РостовНаДону ТЦ ""Мега""",41,"Centro comercial Rostov on Don ""Mega"""
"СПб ТК ""Невский Центр""",42,"SPb TC ""Nevsky Center"""
"СПб ТК ""Сенная""",43,"SPb TK ""Sennaya"""
"Самара ТЦ ""Мелодия""",44,"Centro comercial Samara ""Melody"""
"Самара ТЦ ""ПаркХаус""",45,"Samara TC ""ParkHouse"""
"Сергиев Посад ТЦ ""7Я""",46,"Centro comercial Sergiev Posad ""7Ya"""
"Сургут ТРЦ ""Сити Молл""",47,"Surgut SEC ""City Mall"""
"Томск ТРЦ ""Изумрудный Город""",48,"Tomsk SEC ""Cidade Esmeralda"""
"Тюмень ТРЦ ""Кристалл""",49,"Tyumen SEC ""Cristal"""
"Тюмень ТЦ ""Гудвин""",50,"Tyumen TC ""Goodwin"""
"Тюмень ТЦ ""Зеленый Берег""",51,"Tyumen TC ""Costa Verde"""
"Уфа ТК ""Центральный""",52,"Ufa TC ""Central"""
"Уфа ТЦ ""Семья"" 2",53,"Ufa TC ""Família"" 2"
"Химки ТЦ ""Мега""",54,"Centro comercial Khimki ""Mega"""
Цифровой склад 1С-Онлайн,55,Armazém digital 1C-Online
"Чехов ТРЦ ""Карнавал""",56,"Chekhov SEC ""Carnival"""
"Якутск Орджоникидзе, 56",57,"Yakutsk Ordzhonikidze, 56"
"Якутск ТЦ ""Центральный""",58,"Yakutsk TC ""Central"""
"Ярославль ТЦ ""Альтаир""",59,"Yaroslavl TC ""Altair"""
